frame, face_id, timestamp, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
28,0,0.901,-0.059,0.39,0.177,1.04,0,0.27,0,0,0,0.77,0.26,0,0.05,0,2.05,0.22,0.55,0,0,0.07,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
29,0,0.934,-0.058,0.395,0.177,1.11,0,0.29,0,0,0,0.77,0.25,0,0.06,0,2.07,0.23,0.54,0,0,0.09,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
30,0,0.968,-0.06,0.392,0.177,1.12,0,0.35,0,0,0,0.73,0.25,0,0.04,0,2.1,0.28,0.54,0,0,0.09,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
31,0,1.001,-0.06,0.395,0.178,1.03,0,0.35,0,0,0,0.72,0.28,0,0.03,0,2.08,0.3,0.58,0,0,0.02,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
32,0,1.034,-0.06,0.393,0.179,0.97,0,0.33,0,0,0,0.71,0.31,0,0.01,0,2.09,0.31,0.59,0,0,0.01,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
33,0,1.068,-0.058,0.392,0.178,0.93,0,0.31,0,0,0,0.75,0.32,0,0.03,0,2.12,0.33,0.61,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
34,0,1.101,-0.059,0.391,0.177,0.98,0,0.3,0,0,0,0.74,0.31,0,0.03,0,2.13,0.34,0.6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
35,0,1.134,-0.058,0.392,0.178,1.06,0,0.34,0,0,0,0.69,0.34,0,0.03,0,2.14,0.4,0.6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
36,0,1.168,-0.06,0.392,0.177,1.12,0,0.4,0,0,0.01,0.65,0.33,0,0,0,2.08,0.35,0.58,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
37,0,1.201,-0.059,0.394,0.177,1.08,0,0.42,0,0,0.01,0.69,0.3,0,0,0,2.07,0.34,0.58,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
38,0,1.235,-0.057,0.392,0.177,1.04,0,0.42,0,0,0.01,0.73,0.24,0,0,0,2.07,0.27,0.58,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
39,0,1.268,-0.058,0.393,0.177,1.03,0,0.34,0,0,0,0.77,0.23,0,0,0,2.08,0.25,0.56,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
40,0,1.301,-0.059,0.394,0.178,1.08,0,0.31,0,0,0,0.77,0.23,0,0.01,0,2.1,0.28,0.54,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
41,0,1.335,-0.06,0.394,0.178,1.09,0,0.25,0,0,0,0.75,0.23,0,0.06,0,2.08,0.37,0.55,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
42,0,1.368,-0.058,0.393,0.177,1.06,0,0.27,0,0,0,0.72,0.22,0,0.1,0,2.13,0.39,0.6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
43,0,1.401,-0.059,0.392,0.179,1.03,0,0.25,0,0,0,0.69,0.27,0,0.09,0,2.12,0.37,0.63,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
44,0,1.435,-0.062,0.392,0.179,1.03,0,0.25,0,0,0,0.73,0.3,0,0.04,0,2.16,0.31,0.65,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
45,0,1.468,-0.062,0.393,0.178,1.03,0,0.19,0,0,0,0.77,0.32,0,0,0,2.11,0.35,0.64,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
46,0,1.502,-0.062,0.392,0.178,0.98,0,0.18,0,0,0,0.79,0.3,0,0,0,2.05,0.3,0.61,0,0,0.02,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
47,0,1.535,-0.062,0.393,0.179,0.95,0,0.14,0,0,0,0.77,0.34,0,0,0,2.03,0.27,0.57,0,0,0.02,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
48,0,1.568,-0.062,0.391,0.178,0.93,0,0.18,0,0,0,0.75,0.41,0,0,0,2.05,0.24,0.53,0,0,0.02,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
49,0,1.602,-0.062,0.392,0.178,0.96,0,0.19,0,0,0,0.72,0.42,0,0,0,2.11,0.33,0.55,0,0,0.01,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
50,0,1.635,-0.062,0.391,0.178,0.98,0,0.26,0,0,0,0.72,0.36,0,0,0,2.1,0.38,0.55,0,0,0.05,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
51,0,1.668,-0.063,0.392,0.178,0.97,0,0.25,0,0,0,0.73,0.27,0,0,0,2.06,0.39,0.55,0,0,0.05,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
52,0,1.702,-0.063,0.392,0.179,0.96,0,0.21,0,0,0,0.73,0.25,0,0,0,2.06,0.39,0.53,0,0,0.07,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
53,0,1.735,-0.064,0.391,0.178,0.96,0,0.17,0,0,0,0.75,0.26,0,0,0,2.07,0.42,0.5,0,0,0.02,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
54,0,1.768,-0.063,0.388,0.175,1.02,0,0.16,0,0,0,0.76,0.28,0,0,0,2.12,0.48,0.49,0,0,0.02,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
55,0,1.802,-0.063,0.391,0.176,1.11,0,0.18,0,0,0,0.75,0.28,0,0,0,2.1,0.45,0.49,0,0,0.01,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
56,0,1.835,-0.062,0.391,0.175,1.18,0,0.18,0,0,0,0.75,0.33,0,0.01,0,2.1,0.46,0.5,0,0,0.02,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
